time,window,count,score,edu
2014-10-01 00:00:00,0,0,0,1
2014-10-01 00:00:00,0,0,0,0
2014-10-01 00:00:00,1,231,-0.04557741570627164,1
2014-10-01 00:00:00,1,3750,-0.03598997831321451,0
2014-10-01 01:00:00,2,87,-0.05616248024163887,1
2014-10-01 01:00:00,2,1902,-0.03907739984360684,0
2014-10-01 02:00:00,3,57,-0.03830059109524097,1
2014-10-01 02:00:00,3,1203,-0.04310778528646702,0
2014-10-01 03:00:00,4,12,-0.03631994156318481,1
2014-10-01 03:00:00,4,630,-0.04971662621941665,0
2014-10-01 04:00:00,5,12,-0.08122050754458164,1
2014-10-01 04:00:00,5,474,-0.039161857704766274,0
2014-10-01 05:00:00,6,3,0.02966392318244171,1
2014-10-01 05:00:00,6,579,-0.04284061685849123,0
2014-10-01 06:00:00,7,63,-0.03446587390529375,1
2014-10-01 06:00:00,7,1914,-0.03566634503556469,0
2014-10-01 07:00:00,8,279,-0.044608286076297826,1
2014-10-01 07:00:00,8,3591,-0.03130827703902503,0
2014-10-01 08:00:00,9,936,-0.03680323061943071,1
2014-10-01 08:00:00,9,3732,-0.0388204887180188,0
2014-10-01 09:00:00,10,1248,-0.03545561275459897,1
2014-10-01 09:00:00,10,3834,-0.03844769824133837,0
2014-10-01 10:00:00,11,1152,-0.03414664372211902,1
2014-10-01 10:00:00,11,4200,-0.03744545367185687,0
2014-10-01 11:00:00,12,1254,-0.04634656899586897,1
2014-10-01 11:00:00,12,4191,-0.03891055105143301,0
2014-10-01 12:00:00,13,1083,-0.039489337545304704,1
2014-10-01 12:00:00,13,4053,-0.042332031099235085,0
2014-10-01 13:00:00,14,825,-0.03883305661357863,1
2014-10-01 13:00:00,14,4368,-0.03860536129097457,0
2014-10-01 14:00:00,15,1011,-0.042771568969997245,1
2014-10-01 14:00:00,15,4626,-0.033278831860139406,0
2014-10-01 15:00:00,16,534,-0.045506010563639426,1
2014-10-01 15:00:00,16,4989,-0.039507981194941214,0
2014-10-01 16:00:00,17,390,-0.01066434675836732,1
2014-10-01 16:00:00,17,5463,-0.037275762780501286,0
2014-10-01 17:00:00,18,468,-0.05629388170605476,1
2014-10-01 17:00:00,18,5915,-0.03950179381568239,0
2014-10-01 18:00:00,19,477,-0.05680471107467836,1
2014-10-01 18:00:00,19,6603,-0.041436862040359554,0
2014-10-01 19:00:00,20,351,-0.04171788544352729,1
2014-10-01 19:00:00,20,8703,-0.035909083946312176,0
2014-10-01 20:00:00,21,293,-0.05198519966554461,1
2014-10-01 20:00:00,21,7820,-0.037470447201932176,0
2014-10-01 21:00:00,22,172,-0.037525373523077304,1
2014-10-01 21:00:00,22,7858,-0.03670124653445726,0
2014-10-01 22:00:00,23,200,-0.05175171637154183,1
2014-10-01 22:00:00,23,7133,-0.03514820431557732,0
2014-10-01 23:00:00,24,204,-0.051958925251415496,1
2014-10-01 23:00:00,24,4308,-0.03474528357967098,0
2014-10-02 00:00:00,25,124,-0.020544300770696727,1
2014-10-02 00:00:00,25,2557,-0.03777444423680811,0
2014-10-02 01:00:00,26,85,-0.061159886341367854,1
2014-10-02 01:00:00,26,1727,-0.04207601121049149,0
2014-10-02 02:00:00,27,57,-0.06597004335162232,1
2014-10-02 02:00:00,27,1104,-0.039940149548234216,0
2014-10-02 03:00:00,28,27,-0.01604945180921916,1
2014-10-02 03:00:00,28,654,-0.04704777321381599,0
2014-10-02 04:00:00,29,3,0,1
2014-10-02 04:00:00,29,507,-0.058978614069742086,0
2014-10-02 05:00:00,30,18,-0.08121969809243539,1
2014-10-02 05:00:00,30,606,-0.050495769482881224,0
2014-10-02 06:00:00,31,120,-0.044915919258238825,1
2014-10-02 06:00:00,31,1992,-0.028952002750209312,0
2014-10-02 07:00:00,32,471,-0.03984735150751508,1
2014-10-02 07:00:00,32,3537,-0.03483305765811503,0
2014-10-02 08:00:00,33,780,-0.027404626906954308,1
2014-10-02 08:00:00,33,3327,-0.036806939642833894,0
2014-10-02 09:00:00,34,1008,-0.041467746781950546,1
2014-10-02 09:00:00,34,3720,-0.03797659612234159,0
2014-10-02 10:00:00,35,1332,-0.04330165400940349,1
2014-10-02 10:00:00,35,3747,-0.04103102496351567,0
2014-10-02 11:00:00,36,1320,-0.03994830475336958,1
2014-10-02 11:00:00,36,4074,-0.04036152665669186,0
2014-10-02 12:00:00,37,1194,-0.04161057567075492,1
2014-10-02 12:00:00,37,4350,-0.04190674122206327,0
2014-10-02 13:00:00,38,1218,-0.04006705898849923,1
2014-10-02 13:00:00,38,4263,-0.03878352237498041,0
2014-10-02 14:00:00,39,790,-0.0374074848535689,1
2014-10-02 14:00:00,39,3122,-0.03577047320145971,0
2014-10-02 15:00:00,40,434,-0.05038026834291746,1
2014-10-02 15:00:00,40,3175,-0.04274710300314484,0
2014-10-02 16:00:00,41,313,-0.032630294224344776,1
2014-10-02 16:00:00,41,3029,-0.04186029929201044,0
2014-10-02 17:00:00,42,202,-0.04105708920674394,1
2014-10-02 17:00:00,42,1974,-0.03620902424238544,0
2014-10-02 18:00:00,43,162,-0.05916437944211043,1
2014-10-02 18:00:00,43,2412,-0.03799028891124365,0
2014-10-02 19:00:00,44,174,-0.038765564612471284,1
2014-10-02 19:00:00,44,2966,-0.03864274144195508,0
2014-10-02 20:00:00,45,215,-0.03691168079400809,1
2014-10-02 20:00:00,45,4596,-0.0345304039907179,0
2014-10-02 21:00:00,46,330,-0.03996131604455288,1
2014-10-02 21:00:00,46,11219,-0.038819379040415616,0
2014-10-02 22:00:00,47,309,-0.022130729164676535,1
2014-10-02 22:00:00,47,9843,-0.03460572408053197,0
2014-10-02 23:00:00,48,261,-0.0583081600196546,1
2014-10-02 23:00:00,48,7121,-0.04190821572691671,0
2014-10-03 00:00:00,49,237,-0.06312314645917848,1
2014-10-03 00:00:00,49,5010,-0.04163111828230564,0
2014-10-03 01:00:00,50,102,-0.05596304790419167,1
2014-10-03 01:00:00,50,3015,-0.04032397776537369,0
2014-10-03 02:00:00,51,75,-0.08005197564708072,1
2014-10-03 02:00:00,51,1497,-0.04618645695329597,0
2014-10-03 03:00:00,52,24,-0.005733548766157459,1
2014-10-03 03:00:00,52,933,-0.053999696313669285,0
2014-10-03 04:00:00,53,3,0.07100591715976332,1
2014-10-03 04:00:00,53,612,-0.03891596498311517,0
2014-10-03 05:00:00,54,12,-0.03838984183559814,1
2014-10-03 05:00:00,54,792,-0.053936390510225786,0
2014-10-03 06:00:00,55,90,-0.04309551442162377,1
2014-10-03 06:00:00,55,2298,-0.0337672615029574,0
2014-10-03 07:00:00,56,558,-0.04210069727041252,1
2014-10-03 07:00:00,56,3294,-0.038348858844125894,0
2014-10-03 08:00:00,57,825,-0.03652074281140722,1
2014-10-03 08:00:00,57,3975,-0.03720794995717083,0
2014-10-03 09:00:00,58,1161,-0.027143400319018,1
2014-10-03 09:00:00,58,4629,-0.03408763440785221,0
